Crash Record Number,County Code,County Name,Municipality Code,Municipality Name,Crash Year,Crash Month,Day of Week,Time of Day,Hour of Day,Illumination,Weather,Road Condition,Collision Type,Fatality Count,Injury Count,Arrival Time,Dispatch Time,Vehicle Count,Automobile Count,Motorcycle Count,Bus Count,Small Truck Count,Heavy Truck Count,SUV Count,Van Count,Bicycle Count,Pedestrian Count,Latitude (Decimal),Longitude (Decimal),Speeding Related,Aggressive Driving
2009006017,46,Montgomery,46220,Upper Merion Twp,2008,12,7,1827,18,Dark no street lights,No adverse conditions,Dry,Angle,0,5,1833,1828,2,2,0,0,0,0,0,0,0,0,40.0835,-75.3841,No,Yes
2005180717,46,Montgomery,46220,Upper Merion Twp,2005,7,6,145,1,Dark no street lights,No adverse conditions,Dry,Hit fixed object,0,1,724,627,1,1,0,0,0,0,0,0,0,0,40.0653,-75.3179,No,No
2012105388,46,Montgomery,46220,Upper Merion Twp,2012,10,1,2300,23,Dark street lights,No adverse conditions,Dry,Angle,0,1,2304,2301,2,0,0,0,0,0,2,0,0,0,40.0865,-75.386,No,Yes
2001228133,46,Montgomery,46220,Upper Merion Twp,2001,4,2,920,9,Daylight,No adverse conditions,Dry,Angle,0,0,9999,9999,2,0,0,0,1,0,1,0,0,0,40.0758,-75.3529,No,Yes
1999088580,46,Montgomery,46220,Upper Merion Twp,1999,7,2,546,5,Daylight,No adverse conditions,Dry,Sideswipe (same dir.),0,2,9999,9999,2,2,0,0,0,0,0,0,0,0,40.089,-75.3506,No,Yes
2013034751,46,Montgomery,46220,Upper Merion Twp,2013,3,5,1635,16,Daylight,No adverse conditions,Dry,Rear-end,0,0,1703,1637,5,3,0,0,0,0,2,0,0,0,40.0775,-75.3709,No,Yes
1997054656,46,Montgomery,46220,Upper Merion Twp,1997,5,4,51,0,Dark no street lights,No adverse conditions,Dry,Sideswipe (Opposite dir.),0,1,9999,9999,2,1,0,0,0,1,0,0,0,0,40.0821,-75.357,No,No
2010056553,46,Montgomery,46220,Upper Merion Twp,2010,6,3,623,6,Daylight,No adverse conditions,Dry,Rear-end,0,0,652,634,2,0,0,0,0,0,1,1,0,0,40.1063,-75.4201,No,Yes
2005417973,46,Montgomery,46220,Upper Merion Twp,2005,11,3,330,3,Dark no street lights,Rain,Wet,Hit fixed object,0,0,332,330,1,1,0,0,0,0,0,0,0,0,40.0987,-75.3528,Yes,Yes
2001257489,46,Montgomery,46220,Upper Merion Twp,2001,6,2,1522,15,Daylight,No adverse conditions,Dry,Rear-end,0,5,9999,9999,3,2,0,0,0,0,1,0,0,0,40.0772,-75.3692,No,Yes
1997147793,46,Montgomery,46220,Upper Merion Twp,1997,5,6,1200,12,Daylight,No adverse conditions,Dry,Sideswipe (same dir.),0,2,9999,9999,2,2,0,0,0,0,0,0,0,0,40.0828,-75.3984,No,Yes
2003228408,46,Montgomery,46220,Upper Merion Twp,2003,8,6,424,4,Dark no street lights,No adverse conditions,Dry,Other or Unknown,0,0,9999,9999,2,1,0,0,0,0,0,0,0,0,,,No,No
